Unique ID	Anger	Fear	Joy	Sadness	Disgust	Surprise	Drug Name	Anger	Fear	Joy	Sadness	Disgust	Surprise	Comments	Data
32104							Wellbutrin XL			1 Low			2 Normal	More surpise. Joy is present but not explicitly mentioned, therefore low.	"Helped better than any other antidepressant I have taken (&amp; there have been a few!) Major depressive disorder is a tricky one. Still working on that (20 yrs. now), but I&#039;m function able."
224119							Budesonide					1 Low			"I have developed irritation of the throat and ears, headache, feel dizzy during my morning walk, chest pain and difficulty with my breathing."
28132		3 High		3 High			Lexapro			1 Low	3 High			A bit better - Low joy, Just sadness because anxiety has reduced.	"Ok so a bit of backstory. I have had anxiety and depression since I was 7 due in part to abuse. I was not diagnosed until a couple months ago. About 3 weeks ago I finally admitted I needed more then therapy to get thru this and went to my doctor and was given lexapro 10mg. I feel a little better, but I still feel anxious and depressed almost constantly, the only real change I have noticed is that when I get an attack it feels less frantic and I am able to just wait till the horrible feeling dies down. I also have not been sleeping well. I can&#039;t sleep at night sometimes it&#039;s the anxiety sometimes I just can&#039;t feel tired. I get 2-3 hours once the sun comes up but no matter how tired I am all day I can&#039;t sleep at night. Appointment next week."
26323							Sprintec				3 High			Super difficult to understand. I understood the thank you at the end as thank you for having read my review.	"I just start this pills this month and start my period the Saturday before Christmas and I&#039;m on the white pill that suppose to start your period on and I&#039;m still having it. If it keep&#039;s up I will all so be having my period for 2 weeks. I&#039;m getting tired of bleeding and the pain that comes with it. Thank you."
165354							Ethinyl estradiol / folic acid / levonorgestrel	3 High		1 Low				Happiness implicit, but not explicitly mentioned.	"There are few good things with this birth control and a few bad. 1. My adult acne has cleared up. 2. Makes me want to eat EVERYTHING a week or 2 after my period. So you gain weight. 3. Makes me really angry, really quick."
122516	3 High			3 High			Linaclotide			3 High					"I am SO happy with this medication! I&#039;ve struggled with chronic constipation for so long I forgot what it feels like to have a &quot;normal&quot; BM. My constipation was so bad that I&#039;ve had frequent visits to the ER for severe abdominal cramps (comparable to labor pains), and each time I was told I had severely dilated colon and impaction. I&#039;ve been on lactulose, Mirilax, Go-lytly, laxative teas, and even drinking a bottle of Magnesium-Citrate. NOTHING worked. Now I&#039;m on a daily dose of Linzess and I HAVE to share my success story with others. It worked! And I couldn&#039;t be happier!"
52442							Pantoprazole			3 High					"Tried everything, been on Protonix for 5 years. I can now eat anything as spicy and as hot as I like, and do not have acid reflux."
191138							Campral			2 Normal					"Been on it for 3 days. Want a drink but not as bad as usual...drank 12 pack a day. Been drinking for almost 40 yrs."
109404			1 Low				Nexplanon				3 High			Here, the before and after taking the medicaiton is reversed. So it's after taking the thing and after removing it.	"The implant is very effective for preventing pregnancy. The only issues I had was the side effects. It make me extremely sleepy and Exhausted. The side effects didn&#039;t kick in right away but after some type I notice the changes and decided to have it removed. I am no longer feeling tired and sluggish."
231275							Trazodone	3 High	3 High						"I guess I&#039;m in the group of people that had severe reaction to this medication. The doctor prescribed 100mg trazodone for my &quot;eyes wide open in bed throughout the night&quot; problem. I took caution for the first night and took half a pill or 50mg but after about half an hour my heart stared beating really fast and arrhythmic, my ears and forehead become really hot, etc. it took an hour, two glasses of cold water and trying to breath normally for it to pass. A horrible experience which I won&#039;t forget. Next day I went to my doc and yelled angrily that if I had taken full dose it could have killed me and his reaction was something like oops! seems like this med is not for you! Short version : my advice is to take a small dose at first ,if ok then increase "
