uniqueID,drugName,condition,review,rating,date,usefulCount,sentence-count,word-count
34696,Minocycline,Acne,"""Workedad wonders!""",10,23-Dec-15,0,1,2
140390,Sterapred,"Conjunctivitis, Allergic","""Very good""",9,1-Aug-12,6,1,2
57196,Vandazole,Bacterial Vaginitis,"""Works well.""",9,13-Aug-09,25,1,2
61251,Xyzal,Urticaria,"""Excellent!!""",10,20-Oct-13,21,1,1
103000,Aripiprazole,Depression,"""I had vomiting and just couldn't eat. """,1,19-Oct-09,19,1,8
8352,Zolpidem,Insomnia,"""Works great""",10,31-Mar-15,24,1,2
35710,Buprenorphine / naloxone,Opiate Dependence,"""2nd try with suboxone..""",8,7-Feb-16,10,1,4
88894,Lactulose,,"""Headache, flatulence""",10,4-Mar-14,12,1,2
176825,Triazolam,Insomnia,"""The best sleep and no side effects""",5,6-Dec-15,19,1,7
23491,Methadone,Pain,"""Happy with this medicine.""",10,21-Feb-09,18,1,4
97019,Ambien,Insomnia,"""Stayed up all night """,1,30-Oct-14,46,1,5
127185,Metoclopramide,Gastroparesis,"""It was ok.""",6,4-Sep-15,1,1,3
145328,Lotemax,Keratitis,"""Ok stuff""",5,7-Nov-16,0,1,2
41015,Acetaminophen / oxycodone,Chronic Pain,"""Okay""",1,9-Dec-15,2,1,1
178196,Duloxetine,Depression,"""Cymbalta works great, but withdrawals are ridiculous. """,5,8-Feb-11,8,1,8
223234,Estradiol,Postmenopausal Symptoms,"""Hot flashes.""",10,2-Dec-09,1,1,2
185407,Tocilizumab,Rheumatoid Arthritis,"""The only drug that works for me""",10,18-Apr-17,5,1,7
67271,Omeprazole,GERD,"""Its the best PPI I've tried.""",10,4-Nov-13,36,1,6
220352,Amitriptyline,Migraine Prevention,"""For Migraine""",10,20-Feb-14,11,1,2
193841,Hydrocodone,Pain,"""Very easily build tolerance""",6,14-Sep-15,8,1,4
177065,Promethazine,Nausea/Vomiting,"""Really helps me out very well.""",10,19-Apr-15,13,1,6
