uniqueID,emotion,experiencer,cue,target,stimulus
70296,joy,reviewer,Thankfully,this,
79603,joy,reviewer,immediate relief,,They
41056,anger,reviewer,worse,They,
147637,joy,reviewer,Helps,,
8093,joy,reviewer,really well,,It
187281,anger,reviewer,gouging,,
140211,anger,reviewer,Not effective,,
138509,joy,reviewer,good,,
111721,joy,reviewer,Awesome,,
196220,fear,reviewer,terrifying,,diarrhea
157360,joy,reviewer,works great,,It
15772,anger,reviewer,caused me to gain,it,gain 30 pounds
221463,anger,reviewer,severe,this,diarrhea
117327,,,,,
57823,joy,reviewer,Helpful,,
92670,,,,,
50765,,,,,
161092,joy,reviewer,favorable,,favorable experience
161025,joy,reviewer,good,It,mood stability
184867,,,,,
46134,joy,reviewer,great,,Worked great
216738,,,,,
58896,joy,reviewer,Relieved,,Relieved spasms
51668,joy,reviewer,Worked fast,,
1114,joy,reviewer,Worked well,,
58095,joy,reviewer,Helped,,with the pain
150952,anger,reviewer,Didn't work,,
217147,joy,reviewer,great,,Feel great
213225,joy,reviewer,Love,it,
189308,joy,reviewer,Works well,,
103714,joy,reviewer,Helps,,desire and libido
41122,joy,reviewer,recommend,this,
112734,joy,reviewer,worked,5/160,
203456,joy,reviewer,good relief,,relief
163267,anger,reviewer,,this,didn't help
58276,joy,reviewer,really helped,This medicine,really helped
164303,anger,reviewer,no relief,,no relief
212422,sadness,reviewer,can't afford it,this product,no more coverage
132432,joy,reviewer,helps,Ativan,rest easier
147649,joy,reviewer,help,Xanax,the only thing to help
27415,,,,,
57826,anger,reviewer,just not effective,,Upset stomach most of the time
105206,joy,reviewer,Best,,
4191,joy,reviewer,helpful,this medication,reducing painful coughs
42019,,,,,
100339,,,,,
34094,,,,,
5486,joy,reviewer,good,this medicine,results
39524,joy,reviewer,love,the medicine,
23723,joy,reviewer,AWESOME,This cough medicine,for the nagging cough
113005,fear,reviewer,terrible,tablet,squat out everything
194370,,,,,
56954,,,,,
229718,joy,reviewer,grateful,this medicine,improved my overall sense of well-being
217954,joy,reviewer,successfully,forteo,doing its job
38288,joy,reviewer,improved,it,quality of life
100352,,,,,
12290,surprise,reviewer,shocker,first glass,kind of salty
31144,anger,reviewer,torture,this,
100940,joy,reviewer,overjoyed and ecstatic,Orlistat,lost 10 pounds
146671,fear,reviewer,,,lose my hair and it never stopped!!
45033,sadness,reviewer,suicidal,This medication,makes me worthless
132079,joy,reviewer,wonders,this drug,worked wonders
3756,joy,reviewer,wonders,They,work wonders
221804,joy,reviewer,great,,works great
136436,joy,reviewer,,This cream,significantly reduce my redness
13572,,,,,
78766,joy,reviewer,,Botox,changed my life
201326,,,,,
24763,joy,reviewer,great,,Works great
